Licenses,Regex
CC_BY_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-1\.?0)"""
CC_BY_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-2\.?0)"""
CC_BY_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-2\.?5)"""
CC_BY_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-3\.?0)"""
CC_BY_30_AT," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-3\.?0-AT|(.{1,32} (AND|OR)){1,4} CC-BY-3\.?0-AT)"""
CC_BY_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-4\.?0)"""
CC_BY_ND_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-ND-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-ND-1\.?0)"""
CC_BY_ND_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-ND-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-ND-2\.?0)"""
CC_BY_ND_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-ND-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-ND-2\.?5)"""
CC_BY_ND_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-ND-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-ND-3\.?0)"""
CC_BY_ND_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-ND-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-ND-4\.?0)"""
CC_BY_NC_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-1\.?0)"""
CC_BY_NC_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-2\.?0)"""
CC_BY_NC_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-NC-2\.?5)"""
CC_BY_NC_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-3\.?0)"""
CC_BY_NC_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-4\.?0)"""
CC_BY_NC_ND_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-1\.?0)"""
CC_BY_NC_ND_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-2\.?0)"""
CC_BY_NC_ND_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-2\.?5)"""
CC_BY_NC_ND_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-3\.?0)"""
CC_BY_NC_ND_30_IGO," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-3\.?0-IGO|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-3\.?0-IGO)"""
CC_BY_NC_ND_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-ND-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-ND-4\.?0)"""
CC_BY_NC_SA_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-SA-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-SA-1\.?0)"""
CC_BY_NC_SA_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-SA-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-SA-2\.?0)"""
CC_BY_NC_SA_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-SA-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-NC-SA-2\.?5)"""
CC_BY_NC_SA_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-SA-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-SA-3\.?0)"""
CC_BY_NC_SA_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-NC-SA-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-NC-SA-4\.?0)"""
CC_BY_SA_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-1\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-SA-1\.?0)"""
CC_BY_SA_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-2\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-SA-2\.?0)"""
CC_BY_SA_25," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-2\.?5|(.{1,32} (AND|OR)){1,4} CC-BY-SA-2\.?5)"""
CC_BY_SA_30," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-3\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-SA-3\.?0)"""
CC_BY_SA_30_AT," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-3\.?0-AT|(.{1,32} (AND|OR)){1,4} CC-BY-SA-3\.?0-AT)"""
CC_BY_SA_40," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-BY-SA-4\.?0|(.{1,32} (AND|OR)){1,4} CC-BY-SA-4\.?0)"""
CC_PDDC," ""licen[cs]e(id|[- ]identifier| name)?[: ](CC-PDDC|(.{1,32} (AND|OR)){1,4} CC-PDDC)"""
CDDL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CDDL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} CDDL[- ]1\.?0)"""
CDDL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](CDDL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} CDDL[- ]1\.?1)"""
CDLA_Permissive_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CDLA-Permissive-1\.?0|(.{1,32} (AND|OR)){1,4} CDLA-Permissive-1\.?0)"""
CDLA_Sharing_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CDLA-Sharing-1\.?0|(.{1,32} (AND|OR)){1,4} CDLA-Sharing-1\.?0)"""
CECILL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL-1\.?0|(.{1,32} (AND|OR)){1,4} CECILL-1\.?0)"""
CECILL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL-1\.?1|(.{1,32} (AND|OR)){1,4} CECILL-1\.?1)"""
CECILL_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL[- ]2\.?0|(.{1,32} (AND|OR)){1,4} CECILL[- ]2\.?0)"""
CECILL_21," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL[- ]2\.?1|(.{1,32} (AND|OR)){1,4} CECILL[- ]2\.?1)"""
CECILL_B," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL-B|(.{1,32} (AND|OR)){1,4} CECILL-B)"""
CECILL_C," ""licen[cs]e(id|[- ]identifier| name)?[: ](CECILL-C|(.{1,32} (AND|OR)){1,4} CECILL-C)"""
CERN_OHL_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](CERN-OHL[- ]1\.?1|(.{1,32} (AND|OR)){1,4} CERN-OHL[- ]1\.?1)"""
CERN_OHL_12," ""licen[cs]e(id|[- ]identifier| name)?[: ](CERN-OHL[- ]1\.?2|(.{1,32} (AND|OR)){1,4} CERN-OHL[- ]1\.?2)"""
CERN_OHL_P_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CERN-OHL-P[- ]2\.?0|(.{1,32} (AND|OR)){1,4} CERN-OHL-P[- ]2\.?0)"""
